distance,noise,decoder,p_L,model_size_kb
3,0.001,CNN-32bit,0.00041,165.88
3,0.001,RCNN-32bit,0.00042,282.25
3,0.005,CNN-32bit,0.00864,165.88
3,0.005,RCNN-32bit,0.00838,282.25
3,0.01,CNN-32bit,0.02883,165.88
3,0.01,RCNN-32bit,0.02899,282.25
3,0.05,CNN-32bit,0.30641,165.88
3,0.05,RCNN-32bit,0.30592,282.25
5,0.001,CNN-32bit,0.00066,421.88
5,0.001,RCNN-32bit,0.00028,794.25
5,0.005,CNN-32bit,0.01238,421.88
5,0.005,RCNN-32bit,0.00623,794.25
5,0.01,CNN-32bit,0.05378,421.88
5,0.01,RCNN-32bit,0.02916,794.25
5,0.05,CNN-32bit,0.45238,421.88
5,0.05,RCNN-32bit,0.44642,794.25
7,0.001,CNN-32bit,0.00148,805.88
7,0.001,RCNN-32bit,0.00047,1562.25
7,0.005,CNN-32bit,0.03658,805.88
7,0.005,RCNN-32bit,0.01754,1562.25
7,0.01,CNN-32bit,0.1137,805.88
7,0.01,RCNN-32bit,0.06256,1562.25
7,0.05,CNN-32bit,0.48892,805.88
7,0.05,RCNN-32bit,0.48896,1562.25
