architecture,w_bits,a_bits,d,p,p_L,model_size_kb,inference_latency_ms
CNN-QDense,2,2,5,0.01,0.06904,209.29,57.22
RCNN-QDense,2,2,5,0.01,0.02947,188.97,64.04
CNN-QDense,2,4,5,0.01,0.06697,209.29,79.76
RCNN-QDense,2,4,5,0.01,0.0273,188.97,58.88
CNN-QDense,2,8,5,0.01,0.06695,209.29,56.05
RCNN-QDense,2,8,5,0.01,0.02798,188.97,52.55
CNN-QDense,2,32,5,0.01,0.19994,209.29,72.09
RCNN-QDense,2,32,5,0.01,0.19994,188.97,59.96
CNN-QDense,4,2,5,0.01,0.03097,209.29,57.8
RCNN-QDense,4,2,5,0.01,0.02735,188.97,39.41
CNN-QDense,4,4,5,0.01,0.03078,209.29,31.58
RCNN-QDense,4,4,5,0.01,0.02811,188.97,27.36
CNN-QDense,4,8,5,0.01,0.03078,209.29,31.82
RCNN-QDense,4,8,5,0.01,0.02539,188.97,26.16
CNN-QDense,4,32,5,0.01,0.19994,209.29,29.84
RCNN-QDense,4,32,5,0.01,0.19994,188.97,33.15
CNN-QDense,8,2,5,0.01,0.0324,209.29,31.61
RCNN-QDense,8,2,5,0.01,0.02766,188.97,27.26
CNN-QDense,8,4,5,0.01,0.02989,209.29,33.67
RCNN-QDense,8,4,5,0.01,0.02694,188.97,27.09
CNN-QDense,8,8,5,0.01,0.03145,209.29,32.1
RCNN-QDense,8,8,5,0.01,0.02548,188.97,27.69
CNN-QDense,8,32,5,0.01,0.19994,209.29,31.09
RCNN-QDense,8,32,5,0.01,0.19994,188.97,26.88
CNN-QDense,32,2,5,0.01,0.03049,203.62,27.15
RCNN-QDense,32,2,5,0.01,0.02792,184.01,27.13
CNN-QDense,32,4,5,0.01,0.0305,203.62,30.73
RCNN-QDense,32,4,5,0.01,0.02898,184.01,26.33
CNN-QDense,32,8,5,0.01,0.02963,203.62,25.66
RCNN-QDense,32,8,5,0.01,0.03066,184.01,27.17
CNN-QDense,32,32,5,0.01,0.02811,203.62,32.69
RCNN-QDense,32,32,5,0.01,0.02763,184.01,27.26
